sequence,part1_jm,part1_jr,part2_jm,part2_jr,delta_jm,delta_jr
bmx-bumps,0.321096,0.400000,0.427750,0.577778,0.106654,0.177778
bmx-trees,0.409717,0.400000,0.652556,0.912500,0.242838,0.512500
breakdance,0.155432,0.000000,0.348662,0.000000,0.193230,0.000000
breakdance-flare,0.747804,0.957746,0.956986,1.000000,0.209181,0.042254
bus,0.794711,0.912500,0.927616,1.000000,0.132905,0.087500
car-roundabout,0.716453,0.840000,0.792067,0.853333,0.075614,0.013333
car-shadow,0.861937,1.000000,0.923660,1.000000,0.061723,0.000000
car-turn,0.784928,0.850000,0.976888,1.000000,0.191961,0.150000
dance-jump,0.383513,0.050000,0.709400,1.000000,0.325887,0.950000
dance-twirl,0.282894,0.000000,0.763839,1.000000,0.480944,1.000000
dog-agility,0.097092,0.080000,0.938742,1.000000,0.841650,0.920000
drift-chicane,0.801291,0.961538,0.688338,0.788462,-0.112953,-0.173077
drift-straight,0.745126,0.860000,0.852496,0.940000,0.107370,0.080000
drift-turn,0.869180,1.000000,0.965182,1.000000,0.096002,0.000000
hike,0.619207,1.000000,0.957967,1.000000,0.338760,0.000000
hockey,0.713833,1.000000,0.841443,1.000000,0.127610,0.000000
horsejump-high,0.184926,0.000000,0.903498,1.000000,0.718572,1.000000
horsejump-low,0.155483,0.000000,0.857172,1.000000,0.701689,1.000000
libby,0.103037,0.081633,0.004723,0.000000,-0.098314,-0.081633
lucia,0.783668,1.000000,0.922023,1.000000,0.138355,0.000000
motocross-bumps,0.793315,1.000000,0.946734,1.000000,0.153419,0.000000
motocross-jump,0.764499,0.975000,0.928900,1.000000,0.164401,0.025000
motorbike,0.750806,0.930233,0.780110,1.000000,0.029305,0.069767
paragliding,0.060762,0.000000,0.026392,0.000000,-0.034370,0.000000
paragliding-launch,0.564260,0.600000,0.625989,0.650000,0.061729,0.050000
parkour,0.804930,1.000000,0.948566,1.000000,0.143636,0.000000
rollerblade,0.766243,1.000000,0.935505,1.000000,0.169262,0.000000
scooter-black,0.418394,0.441860,0.605533,0.837209,0.187139,0.395349
scooter-gray,0.708775,0.866667,0.876941,1.000000,0.168165,0.133333
soapbox,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
soccerball,0.561431,0.645833,0.472658,0.520833,-0.088773,-0.125000
stroller,0.375484,0.076923,0.383688,0.000000,0.008204,-0.076923
surf,0.000000,0.000000,0.000405,0.000000,0.000405,0.000000
swing,0.786793,1.000000,0.863442,1.000000,0.076649,0.000000
tennis,0.782285,1.000000,0.834715,1.000000,0.052430,0.000000
