part,sequence,status,reused,runtime_sec,jm,jr,mask_pairs_used,output_dir,output_video,log_path,error
part1,bear,skipped,False,0.0,,,,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/bear,,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part1/bear.log,No supported Part1 classes for ['bear']
part1,blackswan,skipped,False,0.0,,,,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/blackswan,,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part1/blackswan.log,No supported Part1 classes for ['bird']
part1,bmx-bumps,ok,False,91.179,0.32109558029348506,0.4,90,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/bmx-bumps,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/bmx-bumps/inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part1/bmx-bumps.log,
part1,bmx-trees,ok,False,32.257,0.40971731762389885,0.4,80,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/bmx-trees,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/bmx-trees/inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part1/bmx-trees.log,
part1,boat,skipped,False,0.0,,,,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/boat,,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part1/boat.log,No supported Part1 classes for ['boat']
part1,breakdance,ok,False,931.603,0.15543242695583034,0.0,84,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/breakdance,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/breakdance/inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part1/breakdance.log,
part1,breakdance-flare,ok,False,43.24,0.7478043097749006,0.9577464788732394,71,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/breakdance-flare,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/breakdance-flare/inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part1/breakdance-flare.log,
part1,bus,ok,False,278.816,0.7947111082003756,0.9125,80,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/bus,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/bus/inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part1/bus.log,
part1,camel,skipped,False,0.0,,,,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/camel,,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part1/camel.log,No supported Part1 classes for ['horse']
part1,car-roundabout,ok,False,335.253,0.7164534160915673,0.84,75,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/car-roundabout,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part1/car-roundabout/inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part1/car-roundabout.log,
