sequence,sam2_jm,sam2_jr,sam3_jm,sam3_jr,delta_jm_sam3_minus_sam2,delta_jr_sam3_minus_sam2
bear,0.967581,1.000000,0.970845,1.000000,0.003265,0.000000
blackswan,0.952191,1.000000,0.954877,1.000000,0.002686,0.000000
bmx-bumps,0.427750,0.577778,0.413523,0.555556,-0.014227,-0.022222
bmx-trees,0.652556,0.912500,0.562396,0.762500,-0.090160,-0.150000
boat,0.749859,1.000000,0.763657,1.000000,0.013798,0.000000
breakdance,0.348662,0.000000,0.162822,0.000000,-0.185840,0.000000
breakdance-flare,0.956986,1.000000,0.962111,1.000000,0.005126,0.000000
bus,0.927616,1.000000,0.917992,1.000000,-0.009625,0.000000
camel,0.840827,1.000000,0.679162,0.911111,-0.161665,-0.088889
car-roundabout,0.792067,0.853333,0.738509,0.840000,-0.053558,-0.013333
car-shadow,0.923660,1.000000,0.897163,1.000000,-0.026496,0.000000
car-turn,0.976888,1.000000,0.981526,1.000000,0.004638,0.000000
cows,0.971313,1.000000,0.953415,1.000000,-0.017898,0.000000
dance-jump,0.709400,1.000000,0.381940,0.016667,-0.327460,-0.983333
dance-twirl,0.763839,1.000000,0.279199,0.000000,-0.484639,-1.000000
dog,0.959288,1.000000,0.957383,1.000000,-0.001905,0.000000
dog-agility,0.938742,1.000000,0.937615,1.000000,-0.001127,0.000000
drift-chicane,0.688338,0.788462,0.509308,0.576923,-0.179029,-0.211538
drift-straight,0.852496,0.940000,0.858665,0.940000,0.006168,0.000000
drift-turn,0.965182,1.000000,0.956223,1.000000,-0.008959,0.000000
elephant,0.963955,1.000000,0.957047,1.000000,-0.006908,0.000000
flamingo,0.551688,1.000000,0.425647,0.000000,-0.126041,-1.000000
goat,0.424539,0.466667,0.151770,0.177778,-0.272769,-0.288889
hike,0.957967,1.000000,0.698952,1.000000,-0.259015,0.000000
hockey,0.841443,1.000000,0.839279,1.000000,-0.002165,0.000000
horsejump-high,0.903498,1.000000,0.923031,1.000000,0.019534,0.000000
horsejump-low,0.857172,1.000000,0.863482,1.000000,0.006310,0.000000
libby,0.004723,0.000000,0.000000,0.000000,-0.004723,0.000000
lucia,0.922023,1.000000,0.855377,1.000000,-0.066645,0.000000
mallard-fly,0.891001,1.000000,0.879012,1.000000,-0.011989,0.000000
mallard-water,0.945432,1.000000,0.930139,1.000000,-0.015293,0.000000
motocross-bumps,0.946734,1.000000,0.933607,1.000000,-0.013128,0.000000
motocross-jump,0.928900,1.000000,0.887148,1.000000,-0.041752,0.000000
motorbike,0.780110,1.000000,0.914738,1.000000,0.134627,0.000000
paragliding,0.026392,0.000000,0.035111,0.000000,0.008719,0.000000
paragliding-launch,0.625989,0.650000,0.580828,0.650000,-0.045161,0.000000
parkour,0.948566,1.000000,0.961907,1.000000,0.013341,0.000000
rhino,0.978618,1.000000,0.369510,0.422222,-0.609107,-0.577778
rollerblade,0.935505,1.000000,0.938972,1.000000,0.003467,0.000000
scooter-black,0.605533,0.837209,0.428471,0.441860,-0.177062,-0.395349
scooter-gray,0.876941,1.000000,0.798715,0.920000,-0.078226,-0.080000
soapbox,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
soccerball,0.472658,0.520833,0.589525,0.666667,0.116867,0.145833
stroller,0.383688,0.000000,0.477159,0.131868,0.093471,0.131868
surf,0.000405,0.000000,0.035092,0.036364,0.034687,0.036364
swing,0.863442,1.000000,0.814799,1.000000,-0.048643,0.000000
tennis,0.834715,1.000000,0.876815,1.000000,0.042100,0.000000
train,0.822176,1.000000,0.946194,1.000000,0.124018,0.000000
