experiment,sequence,status,reused,runtime_sec,jm,jr,psnr,ssim,mask_pairs_used,frame_pairs_used,output_dir,output_video,log_path,error
sam2_diffueraser,bear,ok,False,102.193,0.9675806680339709,1.0,,,82,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/bear,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/bear/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/bear.log,
sam2_diffueraser,blackswan,ok,False,67.366,0.952190903776182,1.0,,,50,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/blackswan,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/blackswan/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/blackswan.log,
sam2_diffueraser,bmx-bumps,ok,False,117.512,0.42775002947967095,0.5777777777777777,,,90,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/bmx-bumps,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/bmx-bumps/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/bmx-bumps.log,
sam2_diffueraser,bmx-trees,ok,False,101.126,0.6525556030985834,0.9125,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/bmx-trees,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/bmx-trees/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/bmx-trees.log,
sam2_diffueraser,boat,ok,False,96.217,0.7498586213564091,1.0,,,75,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/boat,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/boat/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/boat.log,
sam2_diffueraser,breakdance,ok,False,116.03,0.3486624346263619,0.0,,,84,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/breakdance,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/breakdance/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/breakdance.log,
sam2_diffueraser,breakdance-flare,ok,False,92.193,0.956985723811721,1.0,,,71,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/breakdance-flare,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/breakdance-flare/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/breakdance-flare.log,
sam2_diffueraser,bus,ok,False,97.291,0.927616388011457,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/bus,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/bus/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/bus.log,
sam2_diffueraser,camel,ok,False,110.693,0.8408266292685111,1.0,,,90,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/camel,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/camel/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/camel.log,
sam2_diffueraser,car-roundabout,ok,False,105.927,0.7920671410933744,0.8533333333333334,,,75,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/car-roundabout,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam2_diffueraser/car-roundabout/sam2_diffueraser_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam2_diffueraser/car-roundabout.log,
