experiment,sequence,status,reused,runtime_sec,jm,jr,psnr,ssim,mask_pairs_used,frame_pairs_used,output_dir,output_video,log_path,error
sam3_propainter,bear,ok,False,105.799,0.9708454740923791,1.0,,,82,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/bear,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/bear/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/bear.log,
sam3_propainter,blackswan,ok,False,80.427,0.9548772019287449,1.0,,,50,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/blackswan,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/blackswan/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/blackswan.log,
sam3_propainter,bmx-bumps,ok,False,185.841,0.41352265778168484,0.5555555555555556,,,90,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/bmx-bumps,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/bmx-bumps/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/bmx-bumps.log,
sam3_propainter,bmx-trees,ok,False,179.704,0.5623958728911064,0.7625,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/bmx-trees,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/bmx-trees/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/bmx-trees.log,
sam3_propainter,boat,ok,False,97.192,0.7636570183666314,1.0,,,75,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/boat,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/boat/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/boat.log,
sam3_propainter,breakdance,ok,False,501.285,0.16282231735173283,0.0,,,84,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/breakdance,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/breakdance/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/breakdance.log,
sam3_propainter,breakdance-flare,ok,False,115.954,0.9621112523237215,1.0,,,71,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/breakdance-flare,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/breakdance-flare/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/breakdance-flare.log,
sam3_propainter,bus,ok,False,114.979,0.9179917008402277,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/bus,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/bus/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/bus.log,
sam3_propainter,camel,ok,False,119.478,0.6791615511218472,0.9111111111111111,,,90,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/camel,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/camel/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/camel.log,
sam3_propainter,car-roundabout,ok,False,284.742,0.7385086418050112,0.84,,,75,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/car-roundabout,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/car-roundabout/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/car-roundabout.log,
